Beverage,Calories
Brewed Coffee,5
CaffÌ¬ Latte,190
CaffÌ¬ Mocha (Without Whipped Cream),260
Vanilla Latte (Or Other Flavoured Latte),250
CaffÌ¬ Americano,15
Cappuccino,120
Caramel Macchiato,240
White Chocolate Mocha (Without Whipped Cream),400
Hot Chocolate (Without Whipped Cream),290
Caramel Apple Spice (Without Whipped Cream),280
Tazoå¨ Tea,0
Tazoå¨ Chai Tea Latte,240
Tazoå¨ Green Tea Latte,350
Tazoå¨ Full-Leaf Tea Latte,90
Tazoå¨ Full-Leaf Red Tea Latte (Vanilla Rooibos),190
Iced Brewed Coffee (With Milk & Classic Syrup),120
Shaken Iced Tazoå¨ Tea (With Classic Syrup),80
Shaken Iced Tazoå¨ Tea Lemonade (With Classic Syrup),130
Banana Chocolate Smoothie,300
Orange Mango Banana Smoothie,270
Strawberry Banana Smoothie,290
