State,id,Law
Alabama,AL,0
Alaska,AK,0
Arizona,AZ,0
Arkansas,AR,0
California,CA,2
Colorado,CO,2
Connecticut,CT,2
Delaware,DE,2
District of Columbia,DC,2
Florida,FL,0
Georgia,GA,0
Hawaii,HI,1
Idaho,ID,0
Illinois,IL,2
Indiana,IN,0
Iowa,IA,1
Kansas,KS,0
Kentucky,KY,0
Louisiana,LA,0
Maine,ME,0
Maryland,MD,1
Massachusetts,MA,2
Michigan,MI,1
Minnesota,MN,0
Mississippi,MS,0
Missouri,MO,0
Montana,MT,0
Nebraska,NE,1
Nevada,NV,0
New Hampshire,NH,0
New Jersey,NJ,2
New Mexico,NM,0
New York,NY,2
North Carolina,NC,1
North Dakota,ND,0
Ohio,OH,0
Oklahoma,OK,0
Oregon,OR,2
Pennsylvania,PA,1
Rhode Island,RI,2
South Carolina,SC,0
South Dakota,SD,0
Tennessee,TN,0
Texas,TX,0
Utah,UT,0
Vermont,VT,0
Virginia,VA,0
Washington,WA,2
West Virginia,WV,0
Wisconsin,WI,0
Wyoming,WY,0
